State;Up;Down;Left;Right;Stay
0,1|2|1|1101;-1.45621;-4.9396;-4.404681;-2.52592;-2.579042
-1,1|2|1|1101;-46.26476;-42.06358;-42.08286;-42.19325;-41.21275
1,0|1|2|0011;-23.58879;-20.98006;-21.85459;-21.50694;-23.97141
1,-1|1|3|0001;-21.86664;-20.74445;-20.36306;-23.49273;-23.33344
0,-1|2|2|0110;-2.120993;0.2544956;-6.952242;0;0
0,-1|2|2|1100;-5.85815;-13.94464;-18.93262;-11.0534;-7.639724
1,1|1|3|1000;-37.40929;-27.67078;-35.14545;-48.8;-36.47197
0,1|1|3|1000;-7.400566;-13.51201;-14.35465;-14.83044;-18.08397
1,-1|2|2|0101;-12.41728;-10.34032;-22.82155;-10.404;-11.14328
0,-1|2|2|1010;-52.61129;-51.72734;-51.19667;-47.16835;-51.0191
-1,0|2|2|0110;-19.83519;-20.46162;-25.18522;-24.3528;-22.40414
-1,1|2|1|1110;-22.84377;-20.22289;-19.86079;-21.71509;-23.51378
0,1|2|1|1110;-19.91013;-17.00303;-19.01907;-25.16264;-21.98291
0,1|1|1|1110;-5.373477;-9.232497;-1.014079;-2.967278;-14.27218
1,1|1|1|1101;-9.270412;-6.81138;-6.811453;-5.648413;-5.724276
0,1|1|1|1101;-1.092;-4.690166;-0.6485254;-0.682402;-1.870371
-1,1|1|1|1101;-1.675209;-8.295414;-8.018856;-1.726455;-1.810733
-1,0|2|1|1101;-51.31824;-56.74229;-50.53178;-55.2601;-52.98599
1,0|1|2|1010;-31.02107;-28.89695;-31.26727;-35.61582;-30.42392
0,1|2|2|1001;-0.42;-11.66562;-0.1679697;-4.180259;0
1,1|1|3|0001;-46.5603;-28.95836;-30.57417;-30.21852;-31.62924
0,-1|2|2|0101;4.065575;0;0;0;0
-1,-1|1|4|0000;-40.96045;-51.22448;-50.18401;-40.00008;-42.03919
-1,-1|2|1|1110;-3.58768;-5.642753;-4.356;-7.552372;-6.25608
1,-1|1|2|1010;-41.74054;-42.50777;-41.40206;-46.55117;-40.79818
0,-1|1|2|1010;-43.50756;-61.76047;-45.8493;-47.35511;-46.54754
1,0|2|3|0001;-4.349297;-9.698795;0;-1.533407;-9.476574
1,1|1|2|0101;-33.55917;-15.69531;-19.20665;-16.59619;-17.40248
-1,-1|1|1|1110;-6.02927;-5.1516;-5.5116;-6.87972;-2.42
-1,0|1|1|1110;-1.776;-2.136;-0.42;-8.373833;-1.14
-1,1|1|1|1110;-0.2375476;-0.368809;-4.392943;-9.540381;-5.307085
1,0|2|2|0101;-0.397139;-11.87255;0;0;0
0,-1|1|1|1110;-0.1819953;0;0;0;0
0,-1|1|2|1100;-5.130053;-9.050554;-0.48;-0.5103964;-6.403892
1,0|1|2|1001;-9.617594;-7.430224;-24.29723;-8.365764;-7.854472
0,-1|2|1|1110;-2.42;-1.669177;0;0;0
0,1|1|2|1001;-0.1490801;0;0;0;0
1,-1|1|2|0101;-0.3967156;0;0;0;0
0,-1|1|2|0101;-3.027949;0;0;0;0
-1,-1|1|2|0101;-25.68549;-29.26158;-24.04146;-29.41068;-25.52002
1,1|1|2|1001;-5.804317;0;0;0;0
